OBJECTID,name,introduction,difficulty,completionTime,hasAlerts,introductionThumbnail,walkingAndTrampingWebPage,dateLoadedToGIS,SHAPE_Length
172299,Kōhaihai area short walks,Enjoy beautiful nīkau forest on these easy walks from Kōhaihai Campsite.,Easy,Various to 2 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4c2b766c4ae84964998232553b2d34c8.aspx,https://www.doc.govt.nz/link/3cc01b197bfd46e99c4c30723a6a9bac.aspx,2021/05/05 13:44:48+00,4371.90362881091
172300,Box Canyon and Crazy Paving Caves,Explore two caves in the Oparara Basin - kids will love them.,Easiest,10 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/20d78d2a3acc4f5293b219059a543034.aspx,https://www.doc.govt.nz/link/61af09f6fecb4752ab445343b68e3e41.aspx,2021/05/05 13:44:48+00,148.50230541169
172301,Mangaoraka Loop Track,This track has been closed.,Easiest,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/08f2dd41526d47bbabe8fa74255d96f0.aspx,2021/05/05 13:44:48+00,310.500468751437
172302,Kauaeranga Valley short walks,You'll find numerous short walks in the Kauaeranga Valley. Many of the tracks wind through regenerating bush where remnants of the area's logging history can still be seen.,Easiest,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/680843d583114cb5bc3a33b1466b38c5.aspx,https://www.doc.govt.nz/link/50e83b59b0a84712b2a1f518ed28e8f6.aspx,2021/05/05 13:44:48+00,4002.50977270314
172303,Adams Flat walks and tracks,Walk to a replica goldminer's hut and the site of the Adams Creek Workings.,"Easy, Advanced",4 hr return | 5 hr 20 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/05f16af072a14f88a4b440f0ef3c74ad.aspx,https://www.doc.govt.nz/link/665158e73ca744d1908b40e51b11ab4c.aspx,2021/05/05 13:44:48+00,6361.63860950652
172304,The Grove Scenic Reserve Walk,"Walk through limestone blocks draped with tentacle-like roots of northern rātā, to a viewpoint over the surrounding area.",Easiest,40 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ee721393f6544e39b2d65e8fc8f08c3c.aspx,https://www.doc.govt.nz/link/cd58f7562b77480387a1f86e2a5c1423.aspx,2021/05/05 13:44:50+00,287.879503234631
172305,Six Mile Walk,Explore what remains of the old Six Mile hydro power station.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/41afa6941f784b9fbcbad4fb0ef72481.aspx,https://www.doc.govt.nz/link/e669b316dae54a2696d8f6a9359fb521.aspx,2021/05/05 13:44:50+00,1859.63145204502
172306,Te Waikoropupū Springs Walk,"Experience New Zealand's largest freshwater springs and the largest coldwater springs in the southern hemisphere, with some of the clearest water ever measured.",Easy,45 min loop,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/56e237cd390d44b6898d611e1f9cee00.aspx,https://www.doc.govt.nz/link/a54d6ed431bc4292b0ff0e99a21a8ff9.aspx,2021/05/05 13:44:50+00,1032.23614821798
172307,Johnson Creek Track,Walk to and through a big slip formed in the 1929 Murchison earthquake.,Easy,2 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3acb02c370734693b8173ee20d0502af.aspx,https://www.doc.govt.nz/link/fffd5574868e489ba2a7642f37dad005.aspx,2021/05/05 13:44:50+00,2127.00398926787
172308,Skyline Walk,"Walk up to a viewpoint over Murchison township, and the Matakitaki, Buller and Matiri rivers.",Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/30391efbc3da4cc0beab5cc31c3023ae.aspx,https://www.doc.govt.nz/link/9b8cf5117981414e87751abdad00b545.aspx,2021/05/05 13:44:50+00,698.321488046568
