,name,type,time_h,length_km,lng,lat,url
0,L. Wairoa Road End to Barrys Flat,Tramping Track,11.65,11.51, 173.096578, -41.494357,-l-wairoa-road-end-to-barrys-flat
1,Ngatuhoa Stream Track,Tramping Track,2.716666666666667,6.45, 176.006116, -37.927966,-ngatuhoa-stream-track
2,(coastal) Smoothwater-staffordhut Route,Route,21.133333333333333,5.84, 168.594405, -43.975153,-coastal-smoothwaterstaffordhut-route
3,(inland) Smoothwater-staffordhut Route,Route,2.9833333333333334,6.99, 168.545144, -43.996206,-inland-smoothwaterstaffordhut-route
4,1000 Acres (1000 Ac Jcn to Pp Hut),Tramping Track,23.1,4.42, 172.331671, -41.649679,1000-acres-1000-ac-jcn-to-pp-hut
5,1000 Acres (pp Hut to Lar Hut),Tramping Track,2.6666666666666665,6.88, 172.316042, -41.559708,1000-acres-pp-hut-to-lar-hut
6,1220 Track,Tramping Track,3.1,1.44, 169.034078, -45.113130,1220-track
7,1st Carpark Easement,Tramping Track,3.15,1.93, 169.882826, -44.491173,1st-carpark-easement
8,3 Mile Pack Track,Walking Track,15.0,4.18, 170.126373, -43.240030,3-mile-pack-track
9,6 Tk Jnc Near Te Panaa to Taurawharona,Tramping Track,4.116666666666666,8.43, 177.105835, -38.461539,6-tk-jnc-near-te-panaa-to-taurawharona
10,7mile Creek Bushline to Dillons Hut Trk,Tramping Track,21.116666666666667,2.79, 171.512551, -42.789978,7mile-creek-bushline-to-dillons-hut-trk
11,Abel Tasman Inland Trk [hoakes-porters],Tramping Track,5.15,9.98, 172.941684, -40.944901,abel-tasman-inland-trk-hoakesporters
12,Abel Tasman Inland Trk [tline-hoakes],Tramping Track,22.0,3.79, 173.012908, -40.966986,abel-tasman-inland-trk-tlinehoakes
13,Abel Tasman Memorial Walk,Short Walk,0.05,0.11, 172.901971, -40.821462,abel-tasman-memorial-walk
14,Access Tracks Around Rangatira Flat,Walking Track,1.0833333333333333,0.54, 174.931549, -40.853617,access-tracks-around-rangatira-flat
15,Acheron Lookout Loop Walk,Walking Track,3.066666666666667,1.39, 172.955300, -42.395370,acheron-lookout-loop-walk
16,Acland Falls Track,Walking Track,3.1166666666666667,1.17, 171.260986, -43.885239,acland-falls-track
17,Acton Bushedge-acton/cromel Route Junctn,Route,3.05,8.27, 168.291125, -45.541072,acton-bushedgeacton-cromel-route-junctn
18,Acton Hut Site-cromel Base Hut Junctn,Route,22.116666666666667,4.97, 168.354032, -45.538121,acton-hut-sitecromel-base-hut-junctn
19,Acton/cromel Rte Junct-cromelbranch Hut,Route,11.1,2.75, 168.341008, -45.493000,acton-cromel-rte-junctcromelbranch-hut
20,Ada Track,Tramping Track,14.066666666666666,4.8, 172.615622, -42.301345,ada-track
21,Adeanes Bush Sr Track,Walking Track,1.0833333333333333,0.71, 176.296638, -39.931760,adeanes-bush-sr-track
22,Adventure Ridge Route,Route,2.8666666666666667,3.03, 171.147572, -42.967618,adventure-ridge-route
23,Ahukawakawa Track,Easy Tramping Track,12.116666666666667,3.34, 174.048112, -39.263505,ahukawakawa-track
24,Ahuriri Estuary Track,Walking Track,1.0166666666666666,3.03, 176.884718, -39.481233,ahuriri-estuary-track
25,Ahuriri Valley Track,Tramping Track,6.25,16.66, 169.664969, -44.121840,ahuriri-valley-track
26,Ake Ake Pt Track,Walking Track,4.05,1.32, 174.046036, -35.192958,ake-ake-pt-track
27,Akersten Bay Track,Easy Tramping Track,0.1,0.13, 173.046753, -40.972495,akersten-bay-track
28,Albert Burn Track,Tramping Track,8.95,19.78, 168.930458, -44.374080,albert-burn-track
29,Alborns Walk,Walking Track,1.0333333333333334,2.44, 171.879206, -42.182121,alborns-walk
30,Alder Track,Walking Track,3.033333333333333,1.16, 171.519166, -43.566738,alder-track
31,Alex Knob Track,Tramping Track,4.1,6.13, 170.151490, -43.427066,alex-knob-track
32,Alexandra - 210 to 205,Walking Track,5.65,16.3, 169.510735, -45.138769,alexandra-210-to-205
33,Alford Forest Easement,Tramping Track,2.783333333333333,4.48, 171.473132, -43.582361,alford-forest-easement
34,Alice Nash H Lodge to Iron Gate Hut Tk,Tramping Track,23.033333333333335,5.52, 176.057282, -39.926985,alice-nash-h-lodge-to-iron-gate-hut-tk
35,All Nations/sylvia Creek Track,Tramping Track,2.0,0.69, 168.785569, -44.858617,all-nations-sylvia-creek-track
36,Allans Beach Access Walking Track,Walking Track,0.1,0.26, 170.700306, -45.875309,allans-beach-access-walking-track
37,Allans Track Peel Forest,Tramping Track,12.083333333333334,2.52, 171.259567, -43.888279,allans-track-peel-forest
38,Allison Reserve - Jeffs Track,Tramping Track,1.0333333333333334,0.47, 170.108195, -46.137899,allison-reserve-jeffs-track
39,Alpha Hut to Aston,Tramping Track,11.116666666666667,2.57, 175.278499, -40.986488,alpha-hut-to-aston
40,Alpine Memorial Track,Short Walk,0.03333333333333333,0.06, 170.097071, -43.718538,alpine-memorial-track
41,Alpine Nature Walk,Short Walk,1.1333333333333333,0.73, 172.401476, -42.379524,alpine-nature-walk
42,Amc - Enchanted Track Junction to Wilkie,Walking Track,5.0,1.56, 174.099614, -39.309639,amc-enchanted-track-junction-to-wilkie
43,Amc Tahurangi Lodge - Manganui Skifield,Tramping Track,12.15,2.62, 174.081841, -39.289427,amc-tahurangi-lodge-manganui-skifield
44,Amc- Humphries Castle Link Route,Tramping Track,5.066666666666666,1.53, 174.082692, -39.289344,amc-humphries-castle-link-route
45,Amuri Pass Route,Route,12.033333333333333,2.18, 172.178104, -42.520147,amuri-pass-route
46,Anaconda Ridge Walking Track,Walking Track,1.1166666666666667,0.47, 172.782549, -43.584469,anaconda-ridge-walking-track
47,Anaconda Track,Walking Track,1.1166666666666667,2.3, 172.783004, -43.592404,anaconda-track
48,Anaha/kepa (education Centre Walks),Walking Track,1.0,2.56, 176.430634, -38.088748,anaha-kepa-education-centre-walks
49,Anatoki Bend to Anatoki Forks Hut,Tramping Track,4.2,8.03, 172.606524, -40.940093,anatoki-bend-to-anatoki-forks-hut
50,Anatoki Forks Hut to Yuletide Peak,Tramping Track,22.15,3.19, 172.571301, -40.944370,anatoki-forks-hut-to-yuletide-peak
51,Anatoki Roadend to Anatoki Bend,Tramping Track,3.6666666666666665,7.33, 172.687657, -40.920991,anatoki-roadend-to-anatoki-bend
52,Anaura Bay Track,Tramping Track,2.05,4.45, 178.308430, -38.231307,anaura-bay-track
53,Anchorage Access Tracks,Easy Tramping Track,12.116666666666667,2.93, 173.052647, -40.963414,anchorage-access-tracks
54,Anderson Memorial Hut to Maungahuka Hut,Tramping Track,4.416666666666667,8.83, 175.333822, -40.914304,anderson-memorial-hut-to-maungahuka-hut
